epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7074,1.58894,3.83371,1.2497,0.00311,0.93333,0.00694,0.00498,0.90741,3.54405,0.85979,0.00016,0.00016,0.00016
2,27.3136,1.00409,2.84975,0.96512,0.00333,1,0.14647,0.12257,0.7522,3.4675,0.81377,0.00033439,0.00033439,0.00033439
3,30.0181,0.87234,1.56547,0.90108,0.00333,1,0.14482,0.1007,0.81194,3.54358,0.8348,0.00050284,0.00050284,0.00050284
4,32.3679,0.87721,1.47953,0.9045,0.00333,1,0.14635,0.11635,0.8875,3.43732,0.84324,0.00066535,0.00066535,0.00066535
5,35.7735,0.78816,1.35292,0.90935,0.00333,1,0.07526,0.05221,0.86576,3.46717,0.86632,0.00082192,0.00082192,0.00082192
6,38.3366,0.89028,1.34567,0.94956,0.00333,1,0.0964,0.06259,0.75119,3.36879,0.86283,0.00097255,0.00097255,0.00097255
7,40.6907,0.782,1.25506,0.90691,0.57751,0.06667,0.08687,0.05499,0.87954,3.28221,0.85017,0.00111724,0.00111724,0.00111724
8,43.1392,0.79917,1.18924,0.89003,0.98101,0.2,0.25879,0.21557,0.78057,2.93813,0.83943,0.00125599,0.00125599,0.00125599
9,45.5222,0.7836,1.13314,0.90124,1,0.40651,0.88389,0.68892,0.75343,2.61537,0.85828,0.0013888,0.0013888,0.0013888
10,48.9792,0.76772,1.11749,0.89487,0.79042,0.25389,0.39405,0.33141,0.73173,2.81738,0.85314,0.00151567,0.00151567,0.00151567
11,51.439,0.77287,1.05914,0.9145,1,0.85939,0.99125,0.82714,0.72809,2.00529,0.86109,0.0016366,0.0016366,0.0016366
12,53.7464,0.76942,1.01061,0.90293,0.98432,1,0.995,0.8066,0.69464,1.56152,0.86025,0.001637,0.001637,0.001637
13,56.1037,0.74547,0.95068,0.89299,0.99747,1,0.995,0.8267,0.7053,1.32241,0.86933,0.001604,0.001604,0.001604
14,58.5737,0.75925,0.95952,0.90567,0.97284,1,0.995,0.82744,0.76928,1.27791,0.91638,0.001571,0.001571,0.001571
15,62.0244,0.74571,0.88814,0.89227,0.9927,1,0.995,0.82173,0.71533,0.86439,0.88697,0.001538,0.001538,0.001538
16,64.4712,0.76109,0.8935,0.93236,0.99288,1,0.995,0.84321,0.72513,0.91279,0.87729,0.001505,0.001505,0.001505
17,66.8454,0.77367,0.90576,0.9175,0.9937,1,0.995,0.8028,0.81713,0.7445,0.89247,0.001472,0.001472,0.001472
18,69.3319,0.71986,0.86754,0.90629,0.99432,1,0.995,0.8584,0.68852,0.7315,0.86447,0.001439,0.001439,0.001439
19,71.6406,0.69497,0.8346,0.88037,0.99393,1,0.995,0.84946,0.69389,0.72478,0.86856,0.001406,0.001406,0.001406
20,75.1542,0.72104,0.80769,0.88757,0.9961,1,0.995,0.88159,0.67536,0.60028,0.85787,0.001373,0.001373,0.001373
21,77.7372,0.67129,0.72928,0.87716,0.99603,1,0.995,0.80202,0.6984,0.57359,0.86871,0.00134,0.00134,0.00134
22,80.1367,0.68517,0.75608,0.89139,0.99475,1,0.995,0.81469,0.72498,0.59498,0.88114,0.001307,0.001307,0.001307
23,82.4858,0.67761,0.734,0.88221,0.99545,1,0.995,0.80641,0.7118,0.57853,0.87562,0.001274,0.001274,0.001274
24,85.2464,0.64435,0.70538,0.88076,0.99574,1,0.995,0.83732,0.67495,0.54624,0.86499,0.001241,0.001241,0.001241
25,88.4864,0.66322,0.6767,0.87681,0.99576,1,0.995,0.83715,0.66039,0.53079,0.86035,0.001208,0.001208,0.001208
26,91.0259,0.63361,0.65797,0.88259,0.99615,1,0.995,0.80659,0.71224,0.53147,0.87342,0.001175,0.001175,0.001175
27,93.4459,0.59287,0.64077,0.85983,0.99653,1,0.995,0.86105,0.6544,0.47307,0.8598,0.001142,0.001142,0.001142
28,95.8739,0.60733,0.62706,0.8622,0.99601,1,0.995,0.82531,0.74978,0.50078,0.89782,0.001109,0.001109,0.001109
29,98.7298,0.62255,0.6244,0.87636,0.99631,1,0.995,0.85486,0.66636,0.503,0.87034,0.001076,0.001076,0.001076
30,101.7,0.64157,0.61217,0.88399,0.99649,1,0.995,0.85043,0.68533,0.46418,0.86233,0.001043,0.001043,0.001043
31,104.246,0.61182,0.61739,0.87235,0.99619,1,0.995,0.84076,0.66512,0.48719,0.85482,0.00101,0.00101,0.00101
32,106.635,0.63776,0.62692,0.87614,0.99609,1,0.995,0.85029,0.66182,0.43998,0.85834,0.000977,0.000977,0.000977
33,109.17,0.60479,0.59159,0.87046,0.99635,1,0.995,0.86928,0.61571,0.42569,0.84106,0.000944,0.000944,0.000944
34,112.161,0.6093,0.56152,0.85689,0.99608,1,0.995,0.87741,0.58073,0.42883,0.83168,0.000911,0.000911,0.000911
35,114.862,0.58424,0.54866,0.85811,0.99643,1,0.995,0.84245,0.67157,0.41513,0.86703,0.000878,0.000878,0.000878
36,117.245,0.5982,0.56259,0.86246,0.996,1,0.995,0.86903,0.59688,0.42433,0.83293,0.000845,0.000845,0.000845
37,119.524,0.58898,0.53679,0.85573,0.99588,1,0.995,0.83552,0.64244,0.44687,0.84956,0.000812,0.000812,0.000812
38,121.973,0.58882,0.55864,0.86106,0.99649,1,0.995,0.83896,0.666,0.41275,0.8724,0.000779,0.000779,0.000779
39,125.003,0.61185,0.5286,0.86915,0.9964,1,0.995,0.84856,0.65852,0.38086,0.8682,0.000746,0.000746,0.000746
40,127.757,0.57798,0.53101,0.8587,0.99643,1,0.995,0.84867,0.61222,0.38918,0.84194,0.000713,0.000713,0.000713
41,130.084,0.58607,0.51947,0.85607,0.99628,1,0.995,0.88293,0.61999,0.38901,0.84453,0.00068,0.00068,0.00068
42,132.514,0.56301,0.513,0.84518,0.99624,1,0.995,0.86854,0.62044,0.38277,0.84617,0.000647,0.000647,0.000647
43,134.962,0.55713,0.48871,0.85898,0.9963,1,0.995,0.83911,0.63241,0.36371,0.84969,0.000614,0.000614,0.000614
44,138.298,0.54738,0.50671,0.84146,0.99648,1,0.995,0.84629,0.63188,0.3861,0.84667,0.000581,0.000581,0.000581
45,140.623,0.53831,0.4955,0.83169,0.99652,1,0.995,0.83478,0.6012,0.37674,0.83837,0.000548,0.000548,0.000548
46,143.121,0.54712,0.48624,0.85371,0.99655,1,0.995,0.84378,0.64481,0.36644,0.84358,0.000515,0.000515,0.000515
47,145.533,0.54425,0.46645,0.84081,0.9967,1,0.995,0.85025,0.68671,0.39102,0.85705,0.000482,0.000482,0.000482
